count,species
125,Acanthoica acanthifera
1,Acanthoica biscayensis
4,Acanthoica maxima
582,Acanthoica quattrospina
1,Acanthoica quattrospina COMB
18,Acanthoica quattrospina HOL
16,Acanthoica sp.
109,Acanthoica spp.
9,Algirosphaera cucullata
699,Algirosphaera robusta
24,Alisphaera capulata
62,Alisphaera extenta
77,Alisphaera gaudii
23,Alisphaera gaudii POL
14,Alisphaera ordinata
39,Alisphaera pinnigera
7,Alisphaera quadrilatera
120,Alisphaera unicornis
1,Alisphaera unicornis COMB
152,Alisphaera unicornis POL
1,Balaniger virgulosa
16,Braarudosphaera bigelowii
661,Calcidiscus leptoporus
146,Calcidiscus leptoporus HOL
135,Calciopappus caudatus
123,Calciopappus rigidus
577,Calciosolenia brasiliensis
3,Calciosolenia corselli
426,Calciosolenia murrayi
12,Calicasphaera blokii
19,Calicasphaera concava
22,Calicasphaera diconstricta
90,Calyptrolithina divergens
30,Calyptrolithina multipora
2,Calyptrosphaera cialdii
58,Calyptrosphaera heimdalae
9,Calyptrosphaera sphaeroidea
37,Calyptrosphaera sphaeroidea HOL
3,Canistrolithus valliformis
148,Ceratolithus cristatus
33,Ceratolithus cristatus CER
6,Ceratolithus nishidae CER
7,Chrysotila carterae
2,Chrysotila roscoffensis
209,Coccolithus pelagicus
36,Coccolithus pelagicus HOL
161,Corisphaera gracilis
45,Corisphaera tyrrheniensis
3,Coronosphaera mediterranea COMB
130,Cyrtosphaera aculeata
8,Cyrtosphaera cidaris
930,Discosphaera tubifera
2426,Emiliania huxleyi
461,Florisphaera profunda
6,Flosculosphaera calceolariopsis
21,Formonsella pyramidosa
628,Gephyrocapsa ericsonii
203,Gephyrocapsa muellerae
688,Gephyrocapsa oceanica
65,Gephyrocapsa ornata
52,Gephyrocapsa parvula
200,Gladiolithus flabellatus
26,Gliscolithus amitakareniae
25,Hayaster perplexus
69,Helicosphaera HOL catilliferus type
24,Helicosphaera HOL confusus type
133,Helicosphaera HOL ponticuliferus type
524,Helicosphaera carteri
50,Helicosphaera hyalina
67,Helicosphaera pavimentum
76,Helicosphaera pavimentum HOL
61,Helicosphaera wallichii
187,Helladosphaera cornifera
6,Helladosphaera vavilovii
14,Holococcolithophora dentata
3,Holococcolithophora kastriensis
94,Homozygosphaera spinosa
48,Homozygosphaera triarcha
2,Hughesius youngii
1,Hymenomonas roseola
9,Kataspinifera baumannii
248,Michaelsarsia adriaticus
293,Michaelsarsia elegans
1,Navilithus altivelum
2,Ochrosphaera neapolitana
271,Oolithotus antillarum
128,Oolithotus fragilis
130,Ophiaster formosus
410,Ophiaster hydroideus
12,Ophiaster macrospinus
17,Ophiaster minimus
15,Ophiaster reductus
26,Palusphaera sp.
31,Palusphaera spp.
291,Palusphaera vandelii
8,Pappomonas borealis
1,Pappomonas flabellifera
26,Pappomonas type 3
5,Pappomonas type 4
24,Pappomonas type 5
11,Pappomonas vexillata
7,Papposphaera arctica
105,Papposphaera lepida
1,Papposphaera sagittifera
1,Papposphaera thomsenii
4,Papposphaera type 1
1,Papposphaera type 2
11,Papposphaera type 3
6,Papposphaera type 4
48,Picarola margalefii
